1000	1050	2803
1050	1100	2461
1100	1150	2215
1150	1200	1887
1200	1250	1604
1250	1300	1412
1300	1350	1327
1350	1400	1172
1400	1450	993
1450	1500	853
1500	1550	849
1550	1600	785
1600	1650	712
1650	1700	622
1700	1750	559
1750	1800	565
1800	1850	493
1850	1900	495
1900	1950	393
1950	2000	411
2000	2050	391
2050	2100	353
2100	2150	306
2150	2200	307
2200	2250	289
2250	2300	265
2300	2350	230
2350	2400	226
2400	2450	207
2450	2500	206
2500	2550	169
2550	2600	164
2600	2650	142
2650	2700	152
2700	2750	161
2750	2800	130
2800	2850	134
2850	2900	115
2900	2950	122
2950	3000	129
